"","Store","Gender","Revenue"
"1","Store A","Male",1008.1612013039
"2","Store A","Male",994.485520904768
"3","Store A","Male",994.9473405082
"4","Store A","Male",1014.07505710208
"5","Store A","Male",995.478715182678
"6","Store A","Male",1002.46130674548
"7","Store A","Male",1004.41629844325
"8","Store A","Male",1001.97976986966
"9","Store A","Male",996.722739830872
"10","Store A","Male",1001.27442225371
"11","Store A","Male",1002.16577221612
"12","Store A","Male",1010.79967723106
"13","Store A","Male",1002.45088078148
"14","Store A","Male",989.610744126396
"15","Store A","Male",989.176251738855
"16","Store A","Male",997.866138333106
"17","Store A","Male",992.265731378795
"18","Store A","Male",988.890801063102
"19","Store A","Male",987.226546938603
"20","Store A","Male",1010.55826960713
"21","Store A","Male",990.921428359294
"22","Store A","Male",1003.68504656953
"23","Store A","Male",981.288982417361
"24","Store A","Male",992.510877496915
"25","Store A","Male",1007.3132827515
"26","Store A","Male",1004.65745333621
"27","Store A","Male",990.843248837914
"28","Store A","Male",987.265568514246
"29","Store A","Male",997.165327157858
"30","Store A","Male",1009.06001461571
"31","Store A","Male",994.097424508055
"32","Store A","Male",997.669360203728
"33","Store A","Male",988.708917345461
"34","Store A","Male",1004.70509192788
"35","Store A","Male",1009.51825696316
"36","Store A","Male",1010.43194554119
"37","Store A","Male",1000.06472872556
"38","Store A","Male",1000.77698633029
"39","Store A","Male",997.00717683237
"40","Store A","Male",1010.37094720175
"41","Store A","Male",989.517930504381
"42","Store A","Male",1001.80441426877
"43","Store A","Male",999.679972447789
"44","Store A","Male",1024.16091557019
"45","Store A","Male",1001.80367402322
"46","Store A","Male",1006.49086385107
"47","Store A","Male",996.660184483189
"48","Store A","Male",985.396047951371
"49","Store A","Male",1009.18057651566
"50","Store A","Male",988.303849800545
"51","Store A","Female",968.037780702748
"52","Store A","Female",1000.3232209655
"53","Store A","Female",1020.96564649827
"54","Store A","Female",994.873608659601
"55","Store A","Female",1000.23433149049
"56","Store A","Female",1006.75774430058
"57","Store A","Female",996.017226709101
"58","Store A","Female",983.936491848831
"59","Store A","Female",988.183689377256
"60","Store A","Female",1005.55571201466
"61","Store A","Female",1016.99736350709
"62","Store A","Female",1005.47157824211
"63","Store A","Female",990.795735786621
"64","Store A","Female",990.081341403086
"65","Store A","Female",1006.08041255681
"66","Store A","Female",988.242946803961
"67","Store A","Female",1001.37932760759
"68","Store A","Female",1003.45435656205
"69","Store A","Female",1011.55797033017
"70","Store A","Female",1003.12071689285
"71","Store A","Female",986.461047199033
"72","Store A","Female",998.310263559168
"73","Store A","Female",1007.91077029304
"74","Store A","Female",992.592055321281
"75","Store A","Female",1002.33803879226
"76","Store A","Female",999.686577648805
"77","Store A","Female",986.948909194758
"78","Store A","Female",993.598338633258
"79","Store A","Female",990.370674269794
"80","Store A","Female",999.389598962581
"81","Store A","Female",998.890325947084
"82","Store A","Female",996.484732542207
"83","Store A","Female",992.546341504184
"84","Store A","Female",1016.49879474234
"85","Store A","Female",1002.80892000541
"86","Store A","Female",1010.80594246532
"87","Store A","Female",990.578590205928
"88","Store A","Female",985.641251994574
"89","Store A","Female",1014.64262973655
"90","Store A","Female",997.604245506797
"91","Store A","Female",996.264877326077
"92","Store A","Female",1027.33646110039
"93","Store A","Female",994.299022196192
"94","Store A","Female",1008.26495386076
"95","Store A","Female",1004.18773522742
"96","Store A","Female",1004.5479924456
"97","Store A","Female",993.121493561358
"98","Store A","Female",992.787789286872
"99","Store A","Female",992.119212971995
"100","Store A","Female",988.495852398446
"101","Store B","Male",3007.1976806213
"102","Store B","Male",2989.87636408265
"103","Store B","Male",2971.15303441439
"104","Store B","Male",3015.50880335732
"105","Store B","Male",2993.30136754276
"106","Store B","Male",3012.95353709611
"107","Store B","Male",2990.65079225296
"108","Store B","Male",2997.20432000145
"109","Store B","Male",3020.02279713401
"110","Store B","Male",3019.28752539209
"111","Store B","Male",2998.94829085676
"112","Store B","Male",2989.81352781739
"113","Store B","Male",2999.97118567234
"114","Store B","Male",2976.92803752531
"115","Store B","Male",2995.77883742654
"116","Store B","Male",2998.38539540131
"117","Store B","Male",2998.81211353817
"118","Store B","Male",3004.67156007075
"119","Store B","Male",2985.15848134229
"120","Store B","Male",3004.94715870981
"121","Store B","Male",3012.9378884654
"122","Store B","Male",3002.96528144997
"123","Store B","Male",3013.83832328895
"124","Store B","Male",3010.67867413078
"125","Store B","Male",3014.32068081816
"126","Store B","Male",3005.49507637691
"127","Store B","Male",2997.08520545047
"128","Store B","Male",2992.52859553344
"129","Store B","Male",3004.18198302622
"130","Store B","Male",2995.54321567116
"131","Store B","Male",3015.12648273776
"132","Store B","Male",3003.26391426252
"133","Store B","Male",3007.17032542815
"134","Store B","Male",2999.52583950799
"135","Store B","Male",2995.42099263495
"136","Store B","Male",3010.88225281903
"137","Store B","Male",3001.24417540127
"138","Store B","Male",3016.3714591881
"139","Store B","Male",3014.32795092311
"140","Store B","Male",3001.8935240808
"141","Store B","Male",2985.99115629549
"142","Store B","Male",3009.62331685622
"143","Store B","Male",3014.14040447824
"144","Store B","Male",2997.09946611247
"145","Store B","Male",3002.50403031246
"146","Store B","Male",3000.5599603228
"147","Store B","Male",2992.46346051174
"148","Store B","Male",3015.16669154751
"149","Store B","Male",2987.26696204671
"150","Store B","Male",3000.41213663731
"151","Store B","Female",3007.84916277942
"152","Store B","Female",3011.81935806812
"153","Store B","Female",2995.16454062829
"154","Store B","Female",2996.92479606902
"155","Store B","Female",2997.97903948089
"156","Store B","Female",3024.32110045646
"157","Store B","Female",3004.82971054771
"158","Store B","Female",2974.0962558478
"159","Store B","Female",2992.93911533859
"160","Store B","Female",3003.88065257941
"161","Store B","Female",2989.24019525141
"162","Store B","Female",2993.09447170859
"163","Store B","Female",2989.56137641075
"164","Store B","Female",3006.27451148094
"165","Store B","Female",3004.03936620546
"166","Store B","Female",2972.28010427047
"167","Store B","Female",3009.03270130019
"168","Store B","Female",2975.13762383291
"169","Store B","Female",2998.16263792682
"170","Store B","Female",2995.19053833766
"171","Store B","Female",3020.59721057482
"172","Store B","Female",3010.88885980076
"173","Store B","Female",2989.81406123923
"174","Store B","Female",2990.91434464317
"175","Store B","Female",3005.88964100098
"176","Store B","Female",2996.06451351785
"177","Store B","Female",2981.29240067342
"178","Store B","Female",3006.1598087634
"179","Store B","Female",2992.11153703615
"180","Store B","Female",3005.03880127427
"181","Store B","Female",3012.20049399408
"182","Store B","Female",3005.06216150921
"183","Store B","Female",2993.44129750691
"184","Store B","Female",3016.29789115753
"185","Store B","Female",3016.49651884907
"186","Store B","Female",3005.34687136314
"187","Store B","Female",3005.86046397879
"188","Store B","Female",2990.40339401689
"189","Store B","Female",3004.08556037596
"190","Store B","Female",3010.25902266899
"191","Store B","Female",2995.66767708916
"192","Store B","Female",2990.36702617162
"193","Store B","Female",2990.34009413935
"194","Store B","Female",3004.80540620517
"195","Store B","Female",3001.44902253878
"196","Store B","Female",2993.16434945776
"197","Store B","Female",2999.01684391109
"198","Store B","Female",2983.45394771748
"199","Store B","Female",2998.30665018754
"200","Store B","Female",3009.38113815165
