"","Store","Revenue"
"1","Store A",4430.13340234258
"2","Store A",4302.39911040089
"3","Store A",4086.04971095629
"4","Store A",4241.26805851056
"5","Store A",3860.71763626966
"6","Store A",4342.66162007074
"7","Store A",3481.6315896612
"8","Store A",3886.90555551611
"9","Store A",4622.09862580111
"10","Store A",3859.38173939929
"11","Store A",4637.80882671918
"12","Store A",4727.58692455267
"13","Store A",4118.43214621358
"14","Store A",4541.12739032893
"15","Store A",3900.56114975616
"16","Store A",4250.25354003614
"17","Store A",3966.62083724754
"18","Store A",3969.9194749612
"19","Store A",4299.46544958936
"20","Store A",4448.88612174317
"21","Store A",3826.30737595487
"22","Store A",3817.4830609301
"23","Store A",4358.81226177204
"24","Store A",3840.1702839069
"25","Store A",4366.32529420354
"26","Store A",3832.12872026474
"27","Store A",4070.23512238592
"28","Store A",4487.18583389435
"29","Store A",4700.51814143796
"30","Store A",4017.71019678801
"31","Store A",4479.03713558673
"32","Store A",4341.99896307475
"33","Store A",3913.97797696527
"34","Store A",4432.75904137725
"35","Store A",4274.75835559984
"36","Store A",4527.14316619791
"37","Store A",3674.08321899532
"38","Store A",4194.43499425348
"39","Store A",3906.4327609512
"40","Store A",4029.53257354753
"41","Store A",4070.99031765641
"42","Store A",4285.48729500035
"43","Store A",3820.36835341206
"44","Store A",4472.27589699246
"45","Store A",4194.69869908316
"46","Store A",4162.21804973452
"47","Store A",4054.17004617652
"48","Store A",4051.04366942052
"49","Store A",4475.56758419446
"50","Store A",4519.28358716443
"51","Store A",3974.27368603205
"52","Store A",4452.24453117455
"53","Store A",4366.19043788434
"54","Store A",3963.88061703314
"55","Store A",4622.10234217841
"56","Store A",4079.38428103643
"57","Store A",4336.21954043862
"58","Store A",4371.34482792206
"59","Store A",4020.01808746619
"60","Store A",4039.13479366287
"61","Store A",4138.28052742572
"62","Store A",4363.75026773637
"63","Store A",3834.3267452785
"64","Store A",4365.22579417364
"65","Store A",3657.19265334521
"66","Store A",4357.3312270389
"67","Store A",4050.83230199239
"68","Store A",4113.56288856874
"69","Store A",4248.64242591327
"70","Store A",4478.46656268827
"71","Store A",4767.15545192498
"72","Store A",3990.59516838792
"73","Store A",4119.06977073245
"74","Store A",3711.36082522821
"75","Store A",4489.65066676996
"76","Store A",4155.28324501199
"77","Store A",4118.07463761822
"78","Store A",3687.13472156632
"79","Store A",4131.34290002807
"80","Store A",4743.53870032996
"81","Store A",4906.00331875503
"82","Store A",4101.65166620764
"83","Store A",4035.4572550319
"84","Store A",4324.33131221874
"85","Store A",4055.93279331325
"86","Store A",4312.59231174532
"87","Store A",4661.53298789371
"88","Store A",4169.6795570153
"89","Store A",4103.44059451812
"90","Store A",4297.34983162119
"91","Store A",4131.16123618251
"92","Store A",3870.64274474521
"93","Store A",4536.72421317324
"94","Store A",3885.64047461162
"95","Store A",4268.43675708534
"96","Store A",4417.75967382404
"97","Store A",4335.89805289579
"98","Store A",4458.73395791881
"99","Store A",4339.74450077629
"100","Store A",4145.91171654664
"101","Store A",4735.52426043072
"102","Store A",4393.35439954186
"103","Store A",4094.96581871271
"104","Store A",3807.05192702944
"105","Store A",4570.29451152367
"106","Store A",3749.673362089
"107","Store A",4201.16871679483
"108","Store A",4167.1017783526
"109","Store A",4021.75826348383
"110","Store A",4412.99670423918
"111","Store A",4706.98113171539
"112","Store A",4151.63060536524
"113","Store A",4256.84350198397
"114","Store A",4120.24705944698
"115","Store A",4422.29687245551
"116","Store A",3998.60848083955
"117","Store A",4057.17826754739
"118","Store A",4298.17082179171
"119","Store A",3752.91559336673
"120","Store A",3540.07467407861
"121","Store A",4074.86278658051
"122","Store A",3916.15204078651
"123","Store A",4009.26743536281
"124","Store A",4866.4245809547
"125","Store A",4296.09851013828
"126","Store A",4510.19841783166
"127","Store A",3670.99539969903
"128","Store A",4261.12985552081
"129","Store A",4237.76120216591
"130","Store A",4615.28848327637
"131","Store A",4206.1158596793
"132","Store A",4209.62508162331
"133","Store A",4492.0388696384
"134","Store A",4171.34366414756
"135","Store A",4296.73580846472
"136","Store A",4339.00771952568
"137","Store A",4361.49968490573
"138","Store A",3972.31567561543
"139","Store A",4408.05138208853
"140","Store A",4078.19335737052
"141","Store A",4090.63312952042
"142","Store A",4628.60487910331
"143","Store A",3938.24718756909
"144","Store A",4075.09650697308
"145","Store A",4242.75709903978
"146","Store A",4681.10775489058
"147","Store A",4204.1288210133
"148","Store A",3981.3742978546
"149","Store A",4529.72558720514
"150","Store A",4108.5155832746
"151","Store A",3960.0716171475
"152","Store A",4102.83237078156
