"","Store","Revenue"
"1","Store A",5105.78803026682
"2","Store A",5108.96755738927
"3","Store A",4362.89825827766
"4","Store A",5032.17585541407
"5","Store A",3836.41630569214
"6","Store A",4531.68318350147
"7","Store A",5089.3128790274
"8","Store A",4238.55503619263
"9","Store A",4862.71082072344
"10","Store A",4496.62076552472
"11","Store A",4397.67529973843
"12","Store A",4449.14942952964
"13","Store A",4370.70914081188
"14","Store A",4989.78667014771
"15","Store A",4729.87918401245
"16","Store A",4395.41880471756
"17","Store A",4285.61069485745
"18","Store A",5445.41061281455
"19","Store A",4846.16165051901
"20","Store A",4509.47314807769
"21","Store A",5082.5670481709
"22","Store A",4505.72980138316
"23","Store A",4342.43539251625
"24","Store A",4733.790395184
"25","Store A",4531.01143446086
"26","Store A",4690.20239748804
"27","Store A",5086.2181608469
"28","Store A",4543.89624241727
"29","Store A",4253.85186109561
"30","Store A",4674.24303796371
"31","Store A",4541.13614647966
"32","Store A",4516.39070570764
"33","Store A",4659.69890137342
"34","Store A",5449.25479433149
"35","Store A",5238.01710602334
"36","Store A",4345.52488896862
"37","Store A",5097.60664322818
"38","Store A",4645.63423010318
"39","Store A",4829.26907491635
"40","Store A",5178.90070284196
"41","Store A",4521.35652831788
"42","Store A",4595.92773659099
"43","Store A",4955.24539469286
"44","Store A",4840.97469859661
"45","Store A",4929.84088345637
"46","Store A",4248.73961500791
"47","Store A",4759.5655771705
"48","Store A",4971.87919872347
"49","Store A",4831.96125216985
"50","Store A",4597.35709579213
"51","Store A",4625.45099081668
"52","Store A",4988.98923333764
"53","Store A",4925.30663700354
"54","Store A",4618.43407468139
"55","Store A",4600.00504980678
"56","Store A",4926.12313643395
"57","Store A",4683.39509538239
"58","Store A",5146.7821549152
"59","Store A",4753.26169392309
"60","Store A",4918.94112851019
"61","Store A",4574.3316551269
"62","Store A",5228.86593821937
"63","Store A",4134.12691584193
"64","Store A",4395.2784791494
"65","Store A",4704.06286881723
"66","Store A",4861.97676758419
"67","Store A",4310.00501948847
"68","Store A",4399.23642897178
"69","Store A",4648.0239252041
"70","Store A",4655.6707147744
"71","Store A",5062.07673268873
"72","Store A",4481.15428634807
"73","Store A",4859.93721087051
"74","Store A",5244.32756430852
"75","Store A",4470.9994342014
"76","Store A",4366.41406867273
"77","Store A",4638.40842772411
"78","Store A",4647.05124308703
"79","Store A",4411.06711863267
"80","Store A",4619.07544395195
"81","Store A",4519.88309638093
"82","Store A",4235.74235322189
"83","Store A",5379.15703198209
"84","Store A",4227.59990554185
"85","Store A",4205.85960658207
"86","Store A",4940.88331810116
"87","Store A",4810.03785573206
"88","Store A",4966.06726004757
"89","Store A",4606.68872288986
"90","Store A",4596.31822883127
"91","Store A",4836.53761745375
"92","Store A",4461.2841591661
"93","Store A",4522.47959020175
"94","Store A",5168.50572893907
"95","Store A",4974.40797645909
"96","Store A",4723.35071395112
"97","Store A",4988.2905705692
"98","Store A",4364.52906436325
"99","Store A",5124.60438684169
"100","Store A",4790.89188268164
"101","Store A",4903.49317385292
"102","Store A",5270.2350951859
"103","Store A",4538.26012426651
"104","Store A",5147.47443287752
"105","Store A",4653.74640499223
"106","Store A",5029.28759098925
"107","Store A",4516.72466438293
"108","Store A",4957.68934020781
"109","Store A",4692.5985952555
"110","Store A",4320.91214229268
"111","Store A",4420.27403871473
"112","Store A",4190.57650456911
"113","Store A",5240.22580450896
"114","Store A",4305.63887166118
"115","Store A",4335.20445508844
"116","Store A",3958.39427510188
"117","Store A",5030.55640889214
"118","Store A",5176.90609709157
"119","Store A",4547.12886119309
"120","Store A",4618.58586367306
"121","Store A",4449.58851162694
"122","Store A",4671.28288047226
"123","Store A",4883.07265447229
"124","Store A",4836.36272021009
"125","Store A",5222.46526660079
"126","Store A",4578.66301327788
"127","Store A",4379.31120458472
"128","Store A",5218.46733571632
"129","Store A",3923.44002154281
"130","Store A",4404.13276993884
"131","Store A",4498.1875929401
"132","Store A",4276.59212431627
"133","Store A",4477.67234028952
"134","Store A",5132.73360243444
"135","Store A",5708.28137664214
"136","Store A",5379.07308338246
